"","V1","V2"
"1","1","*bye*"
"2","2","*bye*"
"3","3","*bye*"
"4","4","*bye*"
"5","5","18"
"6","6","17"
"7","7","16"
"8","8","15"
"9","9","14"
"10","10","13"
"11","11","12"
"12","19","*bye*"
"13","20","*bye*"
"14","21","*bye*"
"15","22","*bye*"
"16","23","*bye*"
