"","V1","V2"
"1","1","*bye*"
"2","2","29"
"3","3","28"
"4","4","27"
"5","5","26"
"6","6","25"
"7","7","24"
"8","8","23"
"9","9","22"
"10","10","21"
"11","11","20"
"12","12","19"
"13","13","18"
"14","14","17"
"15","15","16"
"16","30","*bye*"
