"","V1","V2"
"1","1","*bye*"
"2","2","*bye*"
"3","3","26"
"4","4","25"
"5","5","24"
"6","6","23"
"7","7","22"
"8","8","21"
"9","9","20"
"10","10","19"
"11","11","18"
"12","12","17"
"13","13","16"
"14","14","15"
"15","27","*bye*"
"16","28","*bye*"
