"","V1","V2"
"1","1","*bye*"
"2","2","*bye*"
"3","3","*bye*"
"4","4","21"
"5","5","20"
"6","6","19"
"7","7","18"
"8","8","17"
"9","9","16"
"10","10","15"
"11","11","14"
"12","12","13"
"13","22","*bye*"
"14","23","*bye*"
"15","24","*bye*"
"16","25","*bye*"
