"","V1","V2"
"1","1","*bye*"
"2","2","*bye*"
"3","3","*bye*"
"4","4","23"
"5","5","22"
"6","6","21"
"7","7","20"
"8","8","19"
"9","9","18"
"10","10","17"
"11","11","16"
"12","12","15"
"13","13","14"
"14","24","*bye*"
"15","25","*bye*"
"16","26","*bye*"
